,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
194,5,RI,6256.615896310143,5342.397746384496,151.14326409391006,310.86296945356884,Rhode Island,1097379,0.6
195,6,RI,8936.881780288202,7510.246002050115,240.8258598437825,519.2427708112201,Rhode Island,1097379,0.8
196,7,RI,12790.846377472892,10335.227554720124,475.3710783856987,880.3775661009619,Rhode Island,1097379,1.2
197,8,RI,16912.833464413277,13702.653090065185,608.2275690694096,1114.9455633415014,Rhode Island,1097379,1.5
198,9,RI,21241.197539559067,17049.736687884484,810.7728083007263,1465.23956868411,Rhode Island,1097379,1.9
199,10,RI,25144.155947344618,20393.139177613768,897.7186701746817,1660.1009578722662,Rhode Island,1097379,2.3
200,1,SC,2057.2456935475566,1614.310263069834,256.7956171350368,95.822112983026,South Carolina,5118425,0.0
201,2,SC,9693.986745707944,7621.998595864057,1241.7778091693187,402.2728421494046,South Carolina,5118425,0.2
202,3,SC,31146.560772825134,24395.456506377777,4014.90320669296,1396.72673658941,South Carolina,5118425,0.6
203,4,SC,64996.683800256695,51102.313818687406,7991.5820517532575,3044.802322002183,South Carolina,5118425,1.3
204,5,SC,106877.12806286961,83767.754604265,13013.954354660667,5173.10765426168,South Carolina,5118425,2.1
205,6,SC,150288.14522336703,116640.52354007379,19082.85555587232,7473.48715515152,South Carolina,5118425,2.9
206,7,SC,192054.55666574708,147998.23880967082,25099.083989976265,9697.17238237405,South Carolina,5118425,3.8
207,8,SC,237456.44316916785,180987.8775116454,32414.639565275935,12379.517784335176,South Carolina,5118425,4.6
208,9,SC,281620.00628027046,211597.99077909475,40820.14408289955,15307.656803697966,South Carolina,5118425,5.5
209,10,SC,325613.0685545302,241961.68849327555,49113.30954806295,18310.39485321093,South Carolina,5118425,6.4
210,1,TX,3041.7081846903106,2389.4012008615746,47.850704112346094,449.05149427760773,Texas,29145505,0.0
211,2,TX,4846.386382185901,3711.2990945891815,108.34032411225664,759.9775318114329,Texas,29145505,0.0
212,3,TX,10233.916900533028,7320.902771841823,365.5013096168827,1944.2728070302849,Texas,29145505,0.0
213,4,TX,20868.288687601012,14114.060856685408,1063.0813036729376,4337.727932869745,Texas,29145505,0.1
214,5,TX,36839.327285049905,23792.394335650315,2810.2126839167895,7925.04161208851,Texas,29145505,0.1
215,6,TX,56062.70663929254,35468.625944048326,4759.029985054543,12374.18452515054,Texas,29145505,0.2
216,7,TX,84249.0134637167,51163.092164372385,8328.27275806035,19658.434067313076,Texas,29145505,0.3
217,8,TX,120247.01644873481,72038.85757943301,12818.429474856439,28098.41418221986,Texas,29145505,0.4
218,9,TX,151845.15017643615,89729.93376865944,16394.718509936054,36468.30001921664,Texas,29145505,0.5
219,10,TX,187737.74230437932,109409.23738511352,20882.940421797335,45925.21784912194,Texas,29145505,0.6
220,1,VA,3836.877714840194,2600.2745319783344,530.2007353605278,335.9111214386873,Virginia,8631393,0.0
221,2,VA,9837.049834611913,7080.053655848252,1306.2705047272327,663.2454777572007,Virginia,8631393,0.1
222,3,VA,26354.141911215585,18725.679063380903,3987.674841538316,1657.4214218357627,Virginia,8631393,0.3
223,4,VA,54399.89653208493,37461.522743623354,9551.063606828975,3289.0892230154973,Virginia,8631393,0.6
224,5,VA,97528.5451506217,63721.48903127698,20233.775010189693,5988.416535585104,Virginia,8631393,1.1
225,6,VA,157195.10932462447,98984.42842668759,35244.05931357242,10215.224408670554,Virginia,8631393,1.8
226,7,VA,236036.54943699352,142453.9642447995,57377.70652926038,16236.953542326757,Virginia,8631393,2.7
227,8,VA,328415.0622298896,191811.1640947832,84860.73745041908,23082.084828946605,Virginia,8631393,3.8
228,9,VA,440595.27606625186,248055.84985582644,121092.95153658336,32090.52699518874,Virginia,8631393,5.1
229,10,VA,562906.216097079,305597.80717542185,163377.71117354967,42561.29632266846,Virginia,8631393,6.5
230,1,WA,28948.049486481315,21823.563775691702,303.2523706618122,3550.8505939452584,Washington,7705281,0.4
231,2,WA,39950.59400330999,29771.179643197338,417.0730193835075,5100.376775400529,Washington,7705281,0.5
232,3,WA,50330.57552638909,37249.519279052154,549.2496936195362,6529.104992390379,Washington,7705281,0.7
233,4,WA,61433.99156107649,45230.29256166623,754.8760074804179,8053.902501964757,Washington,7705281,0.8
234,5,WA,72351.39194257164,52583.38201333873,989.7893663497058,9899.113090786052,Washington,7705281,0.9
235,6,WA,83116.2253947448,60163.41011784667,1350.6076007560005,11195.624577931567,Washington,7705281,1.1
236,7,WA,93258.37113972931,67070.78579506768,1684.9033572041915,12381.21810868979,Washington,7705281,1.2
237,8,WA,105157.45359643773,75286.38119816403,2122.618010463903,13715.948904634859,Washington,7705281,1.4
238,9,WA,117673.23938319554,84190.8139838229,2580.5268859310336,15028.123880152145,Washington,7705281,1.5
239,10,WA,127012.55263373243,90994.69383398708,2787.6517728665385,15930.0797569515,Washington,7705281,1.6
